attack_name;attack_type;attack_accuracy;attack_power
<<<<<<< HEAD
pound;normal;100;40
mega-punch;normal;85;80
pay-day;normal;100;40
fire-punch;fire;100;75
ice-punch;ice;100;75
thunder-punch;electric;100;75
razor-wind;normal;100;80
swords-dance;normal;;
cut;normal;95;50
whirlwind;normal;;
fly;flying;95;90
bind;normal;85;15
mega-kick;normal;75;120
headbutt;normal;100;70
horn-drill;normal;30;
body-slam;normal;100;85
take-down;normal;85;90
double-edge;normal;100;120
roar;normal;;
flamethrower;fire;100;90
water-gun;water;100;40
surf;water;100;90
ice-beam;ice;100;90
blizzard;ice;70;110
bubble-beam;water;100;65
hyper-beam;normal;90;150
submission;fighting;80;80
low-kick;fighting;100;
counter;fighting;100;
seismic-toss;fighting;100;
strength;normal;100;80
mega-drain;grass;100;40
solar-beam;grass;100;120
string-shot;bug;95;
dragon-rage;dragon;100;
thunderbolt;electric;100;90
thunder-wave;electric;100;
thunder;electric;70;110
earthquake;ground;100;100
fissure;ground;30;
dig;ground;100;80
toxic;poison;90;
psychic;psychic;100;90
hypnosis;psychic;60;
rage;normal;100;20
teleport;psychic;;
night-shade;ghost;100;
mimic;normal;;
double-team;normal;;
defense-curl;normal;;
barrier;psychic;;
light-screen;psychic;;
reflect;psychic;;
bide;normal;;
metronome;normal;;
self-destruct;normal;100;200
egg-bomb;normal;75;100
fire-blast;fire;85;110
waterfall;water;100;80
swift;normal;;60
skull-bash;normal;100;130
amnesia;psychic;;
soft-boiled;normal;;
dream-eater;psychic;100;100
sky-attack;flying;90;140
transform;normal;;
flash;normal;100;
psywave;psychic;100;
explosion;normal;100;250
rest;psychic;;
rock-slide;rock;90;75
tri-attack;normal;100;80
super-fang;normal;90;
substitute;normal;;
thief;dark;100;60
nightmare;ghost;100;
snore;normal;100;50
curse;ghost;;
spite;ghost;100;
protect;normal;;
feint-attack;dark;;60
sludge-bomb;poison;100;90
mud-slap;ground;100;20
zap-cannon;electric;50;120
icy-wind;ice;95;55
detect;fighting;;
outrage;dragon;100;120
sandstorm;rock;;
giga-drain;grass;100;75
endure;normal;;
rollout;rock;90;30
false-swipe;normal;100;40
swagger;normal;90;
fury-cutter;bug;95;40
steel-wing;steel;90;70
attract;normal;100;
sleep-talk;normal;;
heal-bell;normal;;
return;normal;100;
frustration;normal;100;
safeguard;normal;;
pain-split;normal;;
dynamic-punch;fighting;50;100
dragon-breath;dragon;100;60
baton-pass;normal;;
sweet-scent;normal;100;
iron-tail;steel;75;100
synthesis;grass;;
hidden-power;normal;100;60
twister;dragon;100;40
rain-dance;water;;
sunny-day;fire;;
